timestamp,status_postura,angulo_coluna_deg,pitch_cabeca_deg,shoulder_diff,duracao_postura_ruim_s,min_desde_ultimo_alongar
2025-10-21 20:29:41,boa,0.08,-37.76,0.0228,0.0,0.2
2025-10-21 20:29:41,boa,0.03,-38.17,0.0218,0.0,0.2
2025-10-21 20:29:41,boa,0.04,-38.62,0.0175,0.0,0.2
2025-10-21 20:29:41,boa,0.06,-38.81,0.0153,0.0,0.2
2025-10-21 20:29:41,boa,0.29,-38.87,0.0163,0.0,0.2
2025-10-21 20:29:41,boa,0.29,-38.90,0.0173,0.0,0.2
2025-10-21 20:29:41,boa,0.20,-38.95,0.0205,0.0,0.2
2025-10-21 20:29:41,boa,0.37,-38.83,0.0248,0.0,0.2
2025-10-21 20:29:41,boa,0.38,-38.88,0.0261,0.0,0.2
2025-10-21 20:29:42,boa,0.33,-38.93,0.0298,0.0,0.2
2025-10-21 20:29:42,boa,0.41,-38.83,0.0307,0.0,0.2
2025-10-21 20:29:42,boa,0.52,-38.71,0.0304,0.0,0.2
2025-10-21 20:29:42,boa,0.54,-38.56,0.0292,0.0,0.2
2025-10-21 20:29:42,boa,0.41,-38.15,0.0284,0.0,0.2
2025-10-21 20:29:42,boa,0.35,-37.55,0.0274,0.0,0.2
2025-10-21 20:29:42,boa,0.25,-36.77,0.0262,0.0,0.2
2025-10-21 20:29:42,boa,0.25,-36.08,0.0268,0.0,0.2
2025-10-21 20:29:42,boa,0.46,-35.40,0.0284,0.0,0.2
2025-10-21 20:29:42,boa,0.40,-34.71,0.0265,0.0,0.2
2025-10-21 20:29:42,boa,0.24,-34.29,0.0140,0.0,0.2
2025-10-21 20:29:42,boa,0.23,-34.05,0.0130,0.0,0.2
2025-10-21 20:29:42,boa,0.03,-34.50,0.0208,0.0,0.2
2025-10-21 20:29:43,boa,0.11,-35.22,0.0306,0.0,0.2
2025-10-21 20:29:43,boa,0.27,-36.04,0.0337,0.0,0.2
2025-10-21 20:29:43,boa,0.23,-37.05,0.0609,0.0,0.2
2025-10-21 20:29:43,boa,0.94,-38.03,0.0681,0.0,0.2
2025-10-21 20:29:43,boa,0.58,-39.02,0.0543,0.0,0.2
2025-10-21 20:29:43,boa,0.54,-40.10,0.0521,0.0,0.2
2025-10-21 20:29:43,boa,0.57,-41.20,0.0553,0.0,0.2
2025-10-21 20:29:43,boa,0.52,-42.26,0.0541,0.0,0.2
2025-10-21 20:29:43,boa,0.52,-43.29,0.0531,0.0,0.2
2025-10-21 20:29:43,boa,0.77,-44.25,0.0584,0.0,0.2
2025-10-21 20:29:43,boa,1.71,-45.22,0.0812,0.0,0.2
2025-10-21 20:29:43,boa,2.58,-46.21,0.1098,0.0,0.2
2025-10-21 20:29:43,boa,3.13,-47.20,0.1118,0.0,0.2
2025-10-21 20:29:43,boa,3.25,-48.85,0.1004,0.0,0.2
2025-10-21 20:29:44,boa,3.53,-48.08,0.1106,0.0,0.2
2025-10-21 20:29:44,boa,3.48,-46.26,0.1091,0.0,0.2
2025-10-21 20:29:44,boa,2.48,-44.35,0.0631,0.0,0.2
2025-10-21 20:29:44,boa,0.17,-43.73,0.0374,0.0,0.2
2025-10-21 20:29:44,boa,2.18,-43.79,0.0185,0.0,0.2
2025-10-21 20:29:44,boa,3.94,-43.71,0.0186,0.0,0.2
2025-10-21 20:29:44,boa,3.67,-43.71,0.0577,0.0,0.2
2025-10-21 20:29:44,boa,4.26,-43.76,0.0652,0.0,0.2
2025-10-21 20:29:44,boa,5.16,-43.65,0.0596,0.0,0.2
2025-10-21 20:29:44,boa,5.28,-43.36,0.0574,0.0,0.2
2025-10-21 20:29:44,boa,5.69,-42.84,0.0515,0.0,0.2
2025-10-21 20:29:44,boa,5.98,-42.53,0.0557,0.0,0.2
2025-10-21 20:29:44,boa,6.00,-42.48,0.0549,0.0,0.2
2025-10-21 20:29:45,boa,5.69,-42.35,0.0632,0.0,0.2
2025-10-21 20:29:45,boa,5.87,-42.16,0.0684,0.0,0.2
2025-10-21 20:29:45,boa,5.48,-41.05,0.0631,0.0,0.2
2025-10-21 20:29:45,boa,5.47,-39.70,0.0629,0.0,0.2
2025-10-21 20:29:45,boa,4.95,-38.22,0.0412,0.0,0.2
2025-10-21 20:29:45,boa,4.44,-36.53,0.0335,0.0,0.2
2025-10-21 20:29:45,boa,4.49,-34.85,0.0338,0.0,0.2
2025-10-21 20:29:45,boa,4.49,-33.05,0.0284,0.0,0.2
2025-10-21 20:29:45,boa,4.31,-31.25,0.0194,0.0,0.2
2025-10-21 20:29:45,boa,4.02,-29.44,0.0047,0.0,0.2
2025-10-21 20:29:45,boa,4.09,-27.71,0.0101,0.0,0.2
2025-10-21 20:29:45,boa,3.86,-26.01,0.0032,0.0,0.2
2025-10-21 20:29:46,boa,3.76,-24.39,0.0032,0.0,0.2
2025-10-21 20:29:46,boa,3.61,-22.80,0.0022,0.0,0.2
2025-10-21 20:29:46,boa,3.40,-21.47,0.0021,0.0,0.2
2025-10-21 20:29:46,boa,3.49,-20.23,0.0001,0.0,0.2
2025-10-21 20:29:46,boa,3.71,-18.34,0.0046,0.0,0.2
2025-10-21 20:29:46,boa,3.71,-18.83,0.0216,0.0,0.2
2025-10-21 20:29:46,boa,3.77,-20.55,0.0327,0.0,0.2
2025-10-21 20:29:46,boa,3.96,-22.19,0.0334,0.0,0.2
2025-10-21 20:29:46,boa,4.21,-22.52,0.0360,0.0,0.2
2025-10-21 20:29:46,boa,4.36,-22.21,0.0377,0.0,0.2
2025-10-21 20:29:46,boa,4.26,-21.99,0.0409,0.0,0.2
2025-10-21 20:29:46,boa,4.32,-21.72,0.0406,0.0,0.2
2025-10-21 20:29:47,boa,4.49,-21.51,0.0500,0.0,0.2
2025-10-21 20:29:47,boa,4.59,-21.56,0.0583,0.0,0.2
2025-10-21 20:29:47,boa,4.41,-21.78,0.0539,0.0,0.2
2025-10-21 20:29:47,boa,4.42,-22.21,0.0528,0.0,0.2
2025-10-21 20:29:47,boa,4.34,-22.46,0.0544,0.0,0.3
2025-10-21 20:29:47,boa,4.46,-22.42,0.0603,0.0,0.3
2025-10-21 20:29:47,boa,4.51,-22.23,0.0616,0.0,0.3
2025-10-21 20:29:47,boa,4.61,-21.91,0.0659,0.0,0.3
2025-10-21 20:29:47,boa,4.67,-21.80,0.0672,0.0,0.3
2025-10-21 20:29:47,boa,4.67,-21.70,0.0668,0.0,0.3
2025-10-21 20:29:47,boa,4.65,-21.68,0.0623,0.0,0.3
2025-10-21 20:29:47,boa,4.68,-21.73,0.0590,0.0,0.3
2025-10-21 20:29:47,boa,4.94,-21.81,0.0595,0.0,0.3
2025-10-21 20:29:48,boa,4.88,-21.96,0.0600,0.0,0.3
2025-10-21 20:29:48,boa,4.96,-22.10,0.0592,0.0,0.3
2025-10-21 20:29:48,boa,4.54,-22.28,0.0559,0.0,0.3
2025-10-21 20:29:48,boa,4.63,-22.44,0.0534,0.0,0.3
2025-10-21 20:29:48,boa,4.85,-22.60,0.0459,0.0,0.3
2025-10-21 20:29:48,boa,4.34,-22.80,0.0328,0.0,0.3
2025-10-21 20:29:48,boa,4.37,-23.03,0.0349,0.0,0.3
2025-10-21 20:29:48,boa,4.33,-23.29,0.0368,0.0,0.3
2025-10-21 20:29:48,boa,4.23,-23.56,0.0404,0.0,0.3
2025-10-21 20:29:48,boa,4.71,-23.86,0.0499,0.0,0.3
2025-10-21 20:29:48,boa,4.89,-24.12,0.0589,0.0,0.3
2025-10-21 20:29:48,boa,4.97,-24.36,0.0578,0.0,0.3
2025-10-21 20:29:49,boa,4.93,-24.57,0.0429,0.0,0.3
2025-10-21 20:29:49,boa,4.83,-24.86,0.0387,0.0,0.3
2025-10-21 20:29:49,boa,3.98,-25.19,0.0125,0.0,0.3
2025-10-21 20:29:49,boa,3.60,-25.57,0.0110,0.0,0.3
2025-10-21 20:29:49,boa,3.24,-25.78,0.0023,0.0,0.3
2025-10-21 20:29:49,boa,2.70,-26.04,0.0298,0.0,0.3
2025-10-21 20:29:49,boa,1.59,-26.22,0.0465,0.0,0.3
2025-10-21 20:29:49,boa,0.37,-26.38,0.0543,0.0,0.3
2025-10-21 20:29:49,boa,0.50,-26.31,0.0596,0.0,0.3
2025-10-21 20:29:49,boa,1.44,-26.18,0.0522,0.0,0.3
2025-10-21 20:29:49,boa,1.27,-26.08,0.0594,0.0,0.3
2025-10-21 20:29:49,boa,1.80,-25.97,0.0666,0.0,0.3
2025-10-21 20:29:49,boa,1.86,-25.97,0.0705,0.0,0.3
2025-10-21 20:29:50,boa,1.80,-26.12,0.0697,0.0,0.3
2025-10-21 20:29:50,boa,1.81,-26.27,0.0745,0.0,0.3
2025-10-21 20:29:50,boa,2.03,-26.32,0.0843,0.0,0.3
2025-10-21 20:29:50,boa,2.39,-26.36,0.0923,0.0,0.3
2025-10-21 20:29:50,boa,2.52,-26.44,0.0967,0.0,0.3
2025-10-21 20:29:50,boa,2.71,-26.57,0.1052,0.0,0.3
2025-10-21 20:29:50,boa,2.94,-26.67,0.1127,0.0,0.3
2025-10-21 20:29:50,boa,3.26,-26.74,0.1140,0.0,0.3
2025-10-21 20:29:50,boa,3.54,-26.93,0.1211,0.0,0.3
2025-10-21 20:29:50,boa,3.51,-27.12,0.1216,0.0,0.3
2025-10-21 20:29:50,boa,3.26,-27.33,0.1070,0.0,0.3
2025-10-21 20:29:50,boa,3.23,-27.56,0.1105,0.0,0.3
2025-10-21 20:29:50,boa,3.22,-27.81,0.1097,0.0,0.3
2025-10-21 20:29:50,boa,3.05,-28.02,0.1089,0.0,0.3
2025-10-21 20:29:51,boa,2.95,-28.30,0.1038,0.0,0.3
2025-10-21 20:29:51,boa,2.33,-28.65,0.0983,0.0,0.3
2025-10-21 20:29:51,boa,1.88,-28.95,0.0973,0.0,0.3
2025-10-21 20:29:51,boa,1.66,-29.25,0.0958,0.0,0.3
2025-10-21 20:29:51,boa,1.41,-29.52,0.1009,0.0,0.3
2025-10-21 20:29:51,boa,1.16,-29.81,0.0986,0.0,0.3
2025-10-21 20:29:51,boa,1.33,-30.05,0.1010,0.0,0.3
